CUI	UMLS_PREF	INCORRECT
C0936282	malignant neoplasm, primary (morphologic abnormality)	cancer
C0998265	Cancer genus	cancer
C1269001	entire gallbladder	gallbladder
C0460137	depression motion	depression
C0812393	cancer patients and suicide and depression	depression
C0205041	cardio-	heart
C1281570	entire heart	heart
C0235220	hypertensive disorder, systemic arterial (disorder)	hypertension
C1000483	genus anemia	anemia
C0023899	liver extract	liver
C0721399	Liver brand of vitamin B 12	liver
C1278929	entire liver	liver
C0723460	stress bismuth subsalicylate	stress
C0233639	autistic thinking	autism
C1278993	entire skin	skin
C1278978	entire kidney	kidney
C0718217	Acne brand of benozyl peroxide	acne
C1278931	entire pancreas	pancreas
C0997768	glaucoma <invertebrate>	glaucoma
C1278980	entire prostate	prostate
C0518896	nutrition outcomes	nutrition
C0600072	feeding and dietary regimes	nutrition
C0038894	surgery specialty	surgery
C0038895	surgical aspects	surgery
C1269537	entire brain	brain
C0220784	anatomic	anatomy
C0592138	STD brand of sodium tetradecyl sulfate	STD
C0005768	in blood	blood
C1280202	entire eye	eye
C1280739	entire penis	penis
C0000786	spontaneous abortion	abortion
C0274432	infection as complication of medical care	infection
C1278932	entire spleen	spleen
C0683368	symptoms	symptoms
C1268990	entire breast	breast
C0030517	disease of parathyroid glands	parathyroid
C1283838	entire knee region	knee
C0150229	infertility supportive management	infertility
C1278920	entire stomach	stomach
C0719044	Burn brand of nitrofurazone	burns
C1321589	haemophilia - speciality (qualifier value)	hemophilia
C0812393	cancer patients and suicide and depression	suicide
C1281573	entire bladder	bladder
C1254288	anthrax invertebrate	anthrax
C1269047	entire lymph node	lymph nodes
C1281569	entire colon	colon
C0001299	acupuncture	acupuncture
C1269543	entire carpal canal	carpal tunnel
C0523912	testosterone measurement	testosterone
C1278913	entire tongue	tongue
C0723346	Sinus brand of acetaminophen-pseudoephedrine	sinus
C1305231	sinus - general anatomical term	sinus
C0723402	Sore Throat brand of phenol	sore throat
C1176537	influenza preparation	influenza
C0202098	insulin measurement	insulin
C0521421	entire ear	ear
C0718383	Allergy brand of chlorpheniramine	allergy
C0202316	amitriptyline measurement	amitriptyline
C0161542	poisoning by methadone	methadone
C0373527	acetaminophen assay	acetaminophen
C1269000	entire appendix	appendix
C1280202	entire eye	eyes
C0600072	feeding and dietary regimes	diet
C0013217	pharmacotherapeutic	chemotherapy
C1278908	entire lung	lungs
C1281587	entire foot	foot
C1278985	entire vagina	vagina
C1281590	entire head	head
C1278908	entire lung	lung
C0011945	physical dialysis	dialysis
C1059964	genus dialysis	dialysis
C1281583	entire hand	hand
C1283792	entire shoulder region	shoulder
C1281593	entire back (surface region)	back
C0201838	albumin measurement	albumin
C1280698	entire throat (surface region of neck)	throat
C1267072	entire vertebral column	spine
C1280065	entire spine	spine
C1278986	entire clitoris	clitoris
C0220934	ultrasonic	ultrasound
C1266908	entire bone (organ)	bone
C1266909	entire bony skeleton	bone
C0332289	transmitted by	TB
C1278919	entire esophagus	esophagus
C1269560	entire nervous system	nervous system
C0202202	protein measurement	protein
C0028678	nursing therapy	nursing
C0042037	in urine	urine
C1278978	entire kidney	kidneys
C0684334	assessment of active neck movement	neck
C0684335	assessment of passive neck movement	neck
C1281592	entire neck	neck
