N-GRAM	META	MOD	DISPARAGED	MISSPELLED	COMMENT
loss	null	null	null	null	
pictures	null	null	null	null	
effects	null	null	null	null	
gall	null	null	null	null	bile
rheumatoid	null	null	null	null	yes - modifier
sexual	null	yes	null	null	
strep	null	null	null	null	
lyme	null	null	null	null	synonym for lyme disease
sores	null	null	null	null	
nodes	null	null	null	null	maps to node [C0577559] parent to nodule.
klinefelter	null	null	null	null	
herbal	null	yes	null	null	mod
fatty	null	yes	null	null	
parkinson's	null	null	null	null	
polycystic	null	yes	null	null	mod
pills	null	null	null	null	
celiac	null	null	null	null	
syndrom	null	null	yes	yes	
b12	null	null	null	null	vitamin b12
supplements	null	null	null	null	
lab	null	null	null	null	
broken	null	null	null	null	modifier -- we had a long discussion on this one.  We found it difficult
alzheimer's	null	null	null	null	
articles	yes	null	null	null	
alzheimers	null	null	yes	null	
parkinsons	null	null	null	null	
parkinson	null	null	null	null	
staph	null	null	null	null	
bumps	null	null	null	null	
graves	null	null	null	null	
clots	null	null	null	null	
infectious	null	yes	null	null	
sexually	null	yes	null	null	
results	yes	null	null	null	
studies	yes	null	null	null	
babies	null	null	null	null	
crohns	null	null	null	null	
lumps	null	null	null	null	
definition	yes	null	null	null	
atkins	null	null	null	null	
medicines	null	null	null	null	
bloody	null	yes	null	null	
alzheimer	null	null	null	null	
pains	null	null	null	null	
ankylosing	null	yes	null	null	
exam	null	null	null	null	
tay-sachs	null	null	null	null	
conditions	null	null	null	null	
toprol	null	null	null	null	
healthy	null	yes	null	null	
alkaline	null	yes	null	null	
images	yes	null	null	null	
ehlers-danlos	null	null	null	null	
hodgkins	null	null	null	null	
fitness	null	null	null	null	
desease	null	null	yes	yes	
changes	null	null	null	null	
nodules	null	null	null	null	
behavioral	null	yes	null	null	
marfan	null	null	null	null	
numb	null	null	null	null	
molluscum	null	null	null	null	
not	null	yes	null	null	
generic	null	null	null	null	
dose	null	null	null	null	
photos	yes	null	null	null	
prader-willi	null	null	null	null	
inflamation	null	null	null	null	
panel	null	null	null	null	
addison's	null	null	null	null	
adams-stokes	null	null	null	null	
ingrown	null	null	null	null	
blockage	null	null	null	null	
rsd	null	null	null	null	Reflex Sympathetic Dystrophy
legionnaire	null	null	null	null	
symtoms	null	null	yes	yes	
illustrations	yes	null	null	null	
raynaud's	null	null	null	null	
tourette	null	null	null	null	
supplement	null	null	null	null	close to dietary supplement
rosea	null	null	null	null	
pcos	null	null	null	null	
crohn	null	null	null	null	
prostrate	null	null	null	null	
ebola	null	null	null	null	
asperger	null	null	null	null	
shot	null	null	null	null	ambiguous - 1) gun 2) whisky 3)injection
autonomic	null	null	null	null	
cure	null	null	null	null	
kawasaki	null	null	null	null	
bariatric	null	null	null	null	
image	yes	null	null	null	
