CUI	UMLS_NAME
C0039798	therapeutic aspects
C0998265	Cancer genus
C0038895	surgical aspects
C1314792	etiology
C0005768	in blood
C0683368	symptoms
C0011847	diabetes
C1281570	entire heart
C1278993	entire skin
C1269537	entire brain
C0812393	cancer patients and suicide and depression
C0001688	adverse effects
C1280202	entire eye
C1278929	entire liver
C0028678	nursing therapy
C0042153	utilization
C1266909	entire bony skeleton
C0876889	pediatric
C0518896	nutrition outcomes
C0600072	feeding and dietary regimes
C0449913	system (attribute)
C0205041	cardio-
C0947630	scientific study
C0021501	injuries
C1299584	able to and does (qualifier value)
C1272751	does (qualifier value)
C0871208	rating
C0870834	management
C0439136	lower case jay
C1280698	entire throat (surface region of neck)
C1278978	entire kidney
C0348026	diagnostic
C0521421	entire ear
C1000483	genus anemia
C1268990	entire breast
C1278920	entire stomach
C1266908	entire bone (organ)
C1283838	entire knee region
C0521009	bacterial
C0042037	in urine
C1278908	entire lung
C0220784	anatomic
C0019665	history
C0439135	lower case eye
C0439068	upper case eye
C0439128	lower case sea
C0439106	upper case sea
C1281593	entire back (surface region)
C1280541	entire nerve
C1281587	entire foot
C0684334	assessment of active neck movement
C0684335	assessment of passive neck movement
C1281592	entire neck
C1269647	entire cell
C0439126	lower case ay
C0439104	upper case ay
C1171258	complication aspects
C1280739	entire penis
C1278910	entire oral cavity
C0220845	guiding characteristics
C1281590	entire head
C1267547	entire mouth region
C0392688	nutritional deficiency (finding)
C0031843	physiological aspects
C0687732	prevention
C0220844	growth aspects
C0439127	lower case bee
C0439105	upper case bee
C0031847	physiopathological
C1281583	entire hand
C0745732	list
C1267072	entire vertebral column
C0348080	condition (attribute)
C0220934	ultrasonic
C1280065	entire spine
C0548346	trauma assessment and care
C0025664	methodology
C1281569	entire colon
C1306345	pressure - action (qualifier value)
C1281573	entire bladder
C0013217	pharmacotherapeutic
C0521026	viral
C1283792	entire shoulder region
C0521457	foetal
C0439118	upper case ess
C1269032	entire uterus
C1269611	entire joint
C0557651	room of building - study
C0220912	aspects of signs
C0470207	2
C1305737	entire fetus
C0243148	control
C1278985	entire vagina
C0034992	rehabilitation aspects
C0028708	nutrition assessment
C1278980	entire prostate
C0439113	upper case emm
C0750480	count
C0700205	function axis
C0549076	assessment: safety
C0549070	assessment: coping
C0549072	assessment: health behavior
C0549073	assessment: medications and blood products
C0549074	assessment: metabolism
C0549080	assessment: pre- or intra- or post-procedure
C0549077	assessment: self-care
C0549078	assessment: sensation, pain and comfort
C0549079	assessment: urinary elimination
C0439110	upper case gee
C0243067	defects
C1023865	laser plant
C0205469	pathological aspects
C0521125	preposition for
C0439115	upper case pea
C0439140	lower case pea
C0040733	transplantation aspects
C0475211	l (qualifier value)
C0036525	metastatic to
C0008903	taxonomic
C1269001	entire gallbladder
C0000769	teratologic
C0220810	congenital defects
C0025520	metabolic aspects
C1281594	entire abdomen
C0042295	valuing
C0449851	techniques
C0243077	inhibitors
C0220931	training
C0011945	physical dialysis
C1059964	genus dialysis
C0026336	models
C0439142	lower case are
C0439117	upper case are
C1304811	congenital
C0011155	deficiency
C1278913	entire tongue
C0439131	lower case ee
C0439108	upper case ee
C0220812	cost aspects
C1281591	entire face
C0220909	aspects of disease screening
C0376691	programs [publication type]
C0332287	in addition to
C1274040	result (navigational concept)
C0549075	assessment: respiration
C0870300	assessment: cognition
C0679207	knowledge acquisition using a method of assessment
C0719635	dos
C0277785	functional disorder
C0439143	lower case tea
C0439119	upper case tea
C1278896	entire nose
C0040539	toxicity aspects
C0542573	assessment: bowel elimination
C0549068	assessment: circulation
C0549071	assessment: fluid and electrolytes
C0000846	agenesis
C0001555	administration & dosage
C0002778	analysis of substances
C0002809	anatomy & histology
C0005572	bioformation
C0005839	blood supply aspects
C0007783	entire cerebral hemisphere
C0007807	in cerebrospinal fluid
C0007987	chemical synthesis
C0007994	chemically induced
C0010820	cellular aspects of
C0011933	diagnostic use
C0012160	nutritional management
C0013557	economic
C0013622	educational
C0013943	embryologic
C0014445	enzymology
C0014508	epidemiologic
C0017399	genetic aspects
C0018271	growth & development
C0021516	nerve supply
C0021632	instrumentation
C0023242	legislation & jurisprudence
C0024752	workforce
C0025953	microbiological
C0026566	aspects of mortality statistics
C0029236	organization and administration aspects
C0030657	pathogenicity aspects
C0031328	pharmacokinetic
C0032344	poisoning aspects
C0033107	prevention & control
C0033739	protozoa
C0033910	psychological aspects
C0034526	aspects of radiation effects
C0034571	roentgenographic
C0034607	aspects of radionuclide imaging
C0034619	radiotherapeutic
C0036536	process of secretion
C0038137	standards characteristics
C0038292	entire sternocostal joint
C0038849	supply & distribution
C0039795	therapeutic use
C0040722	transmission
C0040745	entire transplanted kidney (body structure)
C0040833	trends
C0041623	ultrastructure
C0042614	veterinary
C0079107	chemical aspects
C0079164	contraindications
C0175676	use of ultrasonography
C0178828	entire reproductive system
C0205462	histologic
C0205464	pharmacological
C0205466	virologic
C0205467	mycological
C0205468	parasitological
C0205470	immunologic
C0220777	absorption characteristics
C0220785	anthropological
C0220790	bacteriologic aspects
C0220796	biodegradational
C0220797	biopsy characteristics
C0220798	biotransformational
C0220807	chemical structure
C0220813	legal decisions
C0220814	cultural
C0220815	curriculum aspects
C0220818	congenital deformities
C0220819	device aspects
C0220820	differential diagnostic aspects
C0220823	epidemic aspects
C0220824	equipment used
C0220828	fee characteristics
C0220829	fetal development aspects
C0220830	financial management aspects
C0220831	forecasting aspects
C0220842	government regulatory aspects
C0220846	helminthic
C0220848	heredity aspects
C0220856	incidence of cases
C0220862	isolation aspects
C0220865	kinetic characteristics
C0220866	aspects of laws
C0220868	legal aspects
C0220872	legal procedural aspects
C0220880	morbidity aspects
C0220885	organizational
C0220888	increasing incidence
C0220899	preoperative procedures aspects
C0220900	prevalence aspects
C0220905	regulatory
C0220906	rickettsial
C0220907	salaried
C0220911	serological aspects
C0220920	surveillance aspects
C0220921	survival aspects
C0220922	systematic
C0220924	teaching aspects
C0220927	tissue distribution aspects
C0220936	virulent characteristics
C0220941	radiotherapeutic aspects
C0221979	entire hair of scalp
C0222183	entire skin of female genitalia
C0222609	entire gland of montgomery (body structure)
C0223161	entire c6 vertebra
C0223221	entire t2 vertebra
C0223266	entire t5 vertebra
C0223371	entire t12 vertebra
C0223563	entire intervertebral disc of fifth lumbar vertebra
C0223744	entire hamate
C0223751	entire first metacarpal
C0223783	entire fifth metacarpal
C0223794	entire proximal phalanx of finger
C0223976	entire first metatarsal
C0223984	entire second metatarsal
C0223993	entire third metatarsal
C0224001	entire fourth metatarsal bone
C0224009	entire fifth metatarsal
C0224128	entire superior rectus
C0224130	entire medial rectus
C0224131	entire lateral rectus
C0224132	entire superior oblique
C0224133	entire inferior oblique
C0224229	entire supraspinatus
C0224230	entire infraspinatus
C0224233	entire subscapularis
C0224235	entire biceps brachii
C0224340	entire pectoralis major muscle
C0224437	entire adductor longus
C0224441	entire rectus femoris
C0224472	entire flexor digitorum longus (body structure)
C0224701	entire knee meniscus
C0224728	entire first metatarsophalangeal joint
